,31-Dec-19,1-Jan-20,2-Jan-20,3-Jan-20,4-Jan-20,5-Jan-20,6-Jan-20,7-Jan-20,8-Jan-20,9-Jan-20,10-Jan-20,11-Jan-20,12-Jan-20,13-Jan-20,14-Jan-20,15-Jan-20,16-Jan-20,17-Jan-20,18-Jan-20,19-Jan-20,20-Jan-20,21-Jan-20,22-Jan-20,23-Jan-20,24-Jan-20,25-Jan-20,26-Jan-20,27-Jan-20,28-Jan-20,29-Jan-20,30-Jan-20,31-Jan-20,1-Feb-20,2-Feb-20,3-Feb-20,4-Feb-20,5-Feb-20,6-Feb-20,7-Feb-20,8-Feb-20,9-Feb-20,10-Feb-20,11-Feb-20,12-Feb-20,13-Feb-20,14-Feb-20,15-Feb-20,16-Feb-20,17-Feb-20,18-Feb-20,19-Feb-20,20-Feb-20,21-Feb-20,22-Feb-20,23-Feb-20,24-Feb-20,25-Feb-20,26-Feb-20,27-Feb-20,28-Feb-20,29-Feb-20,1-Mar-20,2-Mar-20,3-Mar-20,4-Mar-20,5-Mar-20,6-Mar-20,7-Mar-20,8-Mar-20,9-Mar-20,10-Mar-20,11-Mar-20,12-Mar-20,13-Mar-20,14-Mar-20,15-Mar-20,16-Mar-20,17-Mar-20,18-Mar-20,19-Mar-20,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,31-Mar-20,1-Apr-20,2-Apr-20,3-Apr-20,4-Apr-20,5-Apr-20,6-Apr-20,7-Apr-20,8-Apr-20,9-Apr-20,10-Apr-20,11-Apr-20,12-Apr-20,13-Apr-20,14-Apr-20,15-Apr-20,16-Apr-20,17-Apr-20
AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039215869,0.156863477,0.156863477,0.156863477,0.156863477,0.235295216,0.274511085,0.352942824,0.431374562,0.431374562,0.431374562,0.47059043100000003,0.509806301,0.54902217,0.54902217,0.54902217,0.54902217,0.54902217,0.54902217,0.54902217,0.5882380389999999,0.5882380389999999,0.5882380389999999,0.5882380389999999,0.5882380389999999,0.5882380389999999,0.5882380389999999,0.6666697779999999,0.823533255,0.862749124,0.862749124,0.862749124,0.862749124,0.901964993,0.901964993,0.980396732,1.019612601,1.1372602090000001,1.294123686,1.607850641,2.039225203,2.3137362880000003,2.470599765,2.901974327,3.137269543,3.921586928,4.39217736,4.94119953,6.117675608,7.725526249,9.764751451,11.68632905,14.70595098,17.80400465,22.15696614,27.80405132,34.27466975,43.05902447,67.0199206,71.4905297,95.02005127,109.76521809999998,124.15744209999998,132.4712064,149.3732461,160.51055300000002,178.7067163,184.5890967,195.1381655,204.8637011,217.56964280000003,223.02064860000002,225.25595319999996,229.17754010000002,233.5697174,237.3344409,241.2560278,244.6285926,246.62860189999998,247.9227256,249.64822379999998,251.6090173,253.2560838,254.78550269999997
CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026495571000000002,0.026495571000000002,0.052991142000000005,0.079486713,0.079486713,0.079486713,0.10598228400000001,0.10598228400000001,0.10598228400000001,0.10598228400000001,0.132477855,0.132477855,0.185468997,0.185468997,0.185468997,0.185468997,0.185468997,0.185468997,0.185468997,0.185468997,0.21196456800000002,0.21196456800000002,0.21196456800000002,0.21196456800000002,0.21196456800000002,0.21196456800000002,0.238460139,0.238460139,0.238460139,0.238460139,0.291451281,0.291451281,0.317946852,0.370937994,0.42392913600000004,0.52991142,0.635893704,0.715380417,0.79486713,0.874353843,1.192300694,1.35127412,1.510247546,1.6427254009999999,2.040158966,2.464088102,2.729043812,3.6563887960000003,4.663220494,6.464919321,8.05465358,11.234122099999999,15.07597989,18.28194398,22.41525306,25.72719943,34.49723343,37.88866651,43.61170984,51.90482356,89.68750779,106.45920420000002,123.86679440000002,142.70514530000003,165.72979650000002,196.703119,226.16619390000002,254.22500359999998,298.5520939,331.69805319999995,367.81151639999996,410.575368,441.2307436000001,473.820296,510.6756352,549.7301068,586.4264727000001,617.3732996,645.5645871,679.9558382,716.5992129,751.5203755,797.0132709
ITA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049618083,0.049618083,0.049618083,0.049618083,0.049618083,0.049618083,0.049618083,0.049618083,0.049618083,0.049618083,0.049618083,0.049618083,0.049618083,0.049618083,0.049618083,0.049618083,0.049618083,0.049618083,0.049618083,0.049618083,0.049618083,0.049618083,0.281169137,1.306609519,2.1831956519999998,3.787513669,5.325674242,6.6157444000000005,10.75058465,14.68695257,18.65639921,27.93498073,33.674139000000004,41.38148122,51.09008613,63.80885474,76.6764776,97.30106076,121.97778740000001,151.6990191,167.85797480000002,206.1135168,249.9593628,292.0851153,349.92326069999996,396.6138768,462.77132080000007,521.0891077,590.6701994,678.6926786,777.6972936000001,886.1458836000002,978.1047308,1057.311731,1144.126837,1230.296907,1332.0635960000002,1430.621648,1529.42779,1615.7136369999998,1682.6980489999999,1749.7320789999999,1828.8233030000001,1906.02904,1981.862011,2061.33364,2132.717522,2192.242682,2242.5058010000002,2305.950789,2375.482263,2440.829278,2518.465039,2586.144104,2638.292709,2687.44769,2731.558166,2794.176187
FRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04596045,0.04596045,0.04596045,0.04596045,0.061280600000000005,0.07660075,0.0919209,0.0919209,0.0919209,0.0919209,0.0919209,0.0919209,0.0919209,0.0919209,0.16852165100000002,0.16852165100000002,0.16852165100000002,0.16852165100000002,0.16852165100000002,0.16852165100000002,0.16852165100000002,0.16852165100000002,0.16852165100000002,0.18384180100000003,0.18384180100000003,0.18384180100000003,0.18384180100000003,0.18384180100000003,0.18384180100000003,0.18384180100000003,0.18384180100000003,0.18384180100000003,0.214482101,0.260442551,0.5821657029999999,0.873248554,1.5320150080000001,1.99161951,2.7269867139999997,3.247871817,4.366242772,6.480423482999999,9.391251998,10.96922746,17.25048899,21.63205191,27.33114774,34.94526233,44.06075163,56.08706944,68.9253552,83.08117388,101.6185555,118.4247601,139.9342508,168.4450501,193.21773280000002,221.51405,245.398164,304.1969,341.6699871,386.57334689999993,446.6589755,505.01342719999997,575.6546392000001,615.4717092999999,682.512686,798.6087832999999,873.0800328,905.4974704,985.6678158,1051.038896,1079.7335369999998,1139.665964,1197.530171,1256.987674,1322.649837,1389.169929,1436.876876,1461.588278,1502.539039,1586.753904,1627.0918589999999,1667.5523759999999
DEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011935461000000001,0.047741844000000005,0.047741844000000005,0.059677305,0.083548226,0.095483687,0.107419148,0.13129007,0.13129007,0.13129007,0.143225531,0.155160992,0.155160992,0.155160992,0.155160992,0.179031914,0.179031914,0.179031914,0.179031914,0.179031914,0.179031914,0.179031914,0.179031914,0.179031914,0.179031914,0.179031914,0.179031914,0.179031914,0.179031914,0.202902835,0.250644679,0.560966663,0.680321272,1.32483616,1.5396744569999998,1.873867362,2.339350337,3.127090757,4.774184362,8.163855259,10.10933539,10.76578574,13.59448997,15.46835733,18.70286724,28.27510688,36.54638129,45.29507413,57.74375986,71.75599096,85.41015823,97.8469085,168.74354630000002,217.0702275,256.17079739999997,295.6891085,348.658684,376.6115334,435.7398067,504.7267707,579.8485617,627.1726642000001,683.8780389,738.960191,804.0442592999999,877.5189565999999,951.2084923,1023.799965,1094.648861,1138.535551,1184.296108,1232.073758,1291.4407410000001,1354.973199,1404.302459,1437.972394,1468.252659,1493.102288,1522.773844,1556.980875,1597.322733
ESP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021388186,0.021388186,0.021388186,0.021388186,0.021388186,0.021388186,0.021388186,0.021388186,0.021388186,0.042776372,0.042776372,0.042776372,0.042776372,0.042776372,0.042776372,0.042776372,0.042776372,0.042776372,0.042776372,0.042776372,0.042776372,0.042776372,0.042776372,0.042776372,0.064164558,0.149717303,0.256658233,0.5347046529999999,0.727198327,1.4116202830000002,1.7752194469999998,2.438253216,3.229616102,4.277637221,5.582316573,7.999181602,9.196920024,12.59764161,25.75137607,35.05523702,45.77071826,64.25011105,90.4934154,123.04623459999999,165.8226069,196.5788185,239.0771443,293.36036060000004,366.7432271,427.3359583000001,533.1219268,611.1032533,707.71369,848.5335072999999,1018.29154,1201.759401,1370.105814,1545.2536699999998,1685.3249,1822.166515,2019.4083670000002,2184.503776,2357.79086,2517.603386,2667.876782,2796.697827,2888.089546,3005.2540289999997,3137.433019,3260.543419,3358.4157579999996,3461.7206969999997,3550.845269,3625.211992,3690.339018,3799.2476619999998,3910.102631
CHN,0.018758808999999998,0.018758808999999998,0.018758808999999998,0.030569911,0.030569911,0.040991472,0.040991472,0.040991472,0.040991472,0.040991472,0.040991472,0.040991472,0.040991472,0.040991472,0.040991472,0.040991472,0.040991472,0.043770555,0.055581657,0.150070473,0.163271117,0.26818149399999996,0.36544939299999996,0.43284215200000004,0.6127877660000001,0.9191816490000001,1.381204171,1.92798872,3.1459217739999996,4.164455633999999,5.373356669,6.749002674,8.204547311,10.00400345,11.95769869,14.20667147,16.89682366,19.4862341,21.68170954,24.05643582,25.86770306,27.93395116,29.66393022,31.07292522,41.59244854,44.47991561,46.24324367,47.63764848,49.06331798,50.37643462,51.59228336,51.86602302,52.48506373,53.05894433,53.50846098,53.659921,54.01772791,54.3025839,54.60758824,54.83616781,55.13352967,55.53232806,55.67475605,55.76299193,55.84566965,55.92695782,56.04506884,56.11524068,56.14720014,56.17846482,56.19236023,56.21250858,56.22918308,56.24446804,56.25766868,56.27295363,56.29032289999999,56.32019804,56.33617777,56.36674768,56.43552998,56.47165806,56.51681815,56.61269651,56.66063569,56.71482781,56.78569442,56.85100287,56.93368058,57.01218967,57.0802772,57.13863794,57.17615556,57.24563263,57.29426658,57.33734236,57.37069136,57.41724099,57.45614815,57.51589843,57.57564872,57.6138611,57.66874799,57.73336167,57.81117599,57.87648443,57.9105282,57.94526673,58.18982602
ISR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115532929,0.115532929,0.23106585699999999,0.23106585699999999,0.23106585699999999,0.23106585699999999,0.346598786,0.8087305,0.8087305,1.155329286,,,1.7329939280000002,1.964059786,2.195125643,2.8883232139999997,4.505784214,,8.087304999,9.473700142,11.09116114,13.40181971,20.56486128,28.88323214,30.03856143,49.3325605,50.02575807,78.21579264,82.25944513,102.0155759,123.7357665,166.59848300000002,222.97855209999997,273.69750780000004,308.0107875,350.64243819999996,418.1136685,490.6683476,516.7787893999999,567.9598768,645.9446036,722.3118694,858.1785933,926.3430212000001,973.9425877999998,1028.7051960000001,1068.448523,1086.47166,1151.632232,1202.46672,1241.170252,1287.614489,1338.56451,1391.709657,1444.2771400000001,1473.969103
JPN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00790661,0.00790661,0.00790661,0.00790661,0.00790661,0.00790661,0.00790661,0.00790661,0.00790661,0.01581322,0.01581322,0.023719828999999998,0.023719828999999998,0.031626439,0.055346268,0.08697270800000001,0.110692537,0.11859914699999999,0.150225586,0.158132196,0.158132196,0.197665245,0.197665245,0.197665245,0.197665245,0.197665245,0.197665245,0.197665245,0.197665245,0.229291684,0.237198293,0.300451172,0.41114370899999997,0.46648997700000006,0.46648997700000006,0.521836246,0.664155222,0.73531471,0.830194027,1.043672491,1.138551809,1.138551809,1.296684004,1.470629419,1.660388054,1.81852025,1.889679738,2.008278885,2.008278885,2.118971422,2.506395301,2.7594068139999997,3.2258967910000003,3.5975074510000002,3.858425574,4.063997428,4.4909543560000005,4.894191455,5.336961603,5.827171409,6.16715563,6.4359803620000005,6.51504646,6.554579509,6.90247034,7.511279292999999,7.96195605,8.270313832000001,8.610298052000001,8.918655833999999,9.43258547,10.0255812,10.78461574,11.85200806,13.38589036,14.75373385,15.4416089,15.4416089,17.2205961,20.6915978,23.20589971,25.8625206,28.89075214,30.17952954,30.88321781,33.65843784,36.90014785,42.2766425,53.35380281,57.36245397,60.44603178,64.04353923,67.85452515,72.47989187
MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092689865,0.123586487,0.123586487,0.123586487,0.216276353,0.216276353,0.247172975,0.247172975,0.247172975,0.247172975,0.247172975,0.308966218,0.37075946200000004,0.432552705,0.463449327,0.494345949,0.5561391929999999,0.5561391929999999,0.5561391929999999,0.5561391929999999,0.587035815,0.648829058,0.67972568,0.67972568,0.67972568,0.67972568,0.67972568,0.67972568,0.67972568,0.67972568,0.67972568,0.67972568,0.67972568,0.67972568,0.710622302,0.772415545,0.772415545,0.8960020329999999,,1.112278385,1.544831091,1.544831091,2.564419611,2.8733858289999996,3.05876556,3.6149047530000002,3.985664215,4.603596651,4.881666247,6.086634498,7.3533959929999995,13.22375414,17.08583187,20.79342648,24.40833124,27.80695964,31.82352047,36.55070361,40.3509881,46.90107192,50.17611383,55.49033279,62.75103891,66.76759975,71.68016262,76.31465589,81.1345289,81.1345289,89.84737625,96.27387359,102.9784405,107.6129338,113.14342909999999,117.1908866,122.44331229999999,127.26318529999999,130.63091709999998,134.27671840000002,139.9616968,144.68888,148.8290273,154.081453,156.7076659,160.10629430000003
